timestamp_s,x,y,z
1403638129.141268730,4.614838,-1.800945,0.686504
1403638129.192268848,4.614800,-1.801041,0.686500
1403638129.290268898,4.614965,-1.800750,0.686791
1403638129.342268705,4.614362,-1.799906,0.687674
1403638129.393268824,4.613615,-1.799618,0.688975
1403638129.442268848,4.613598,-1.800628,0.691125
1403638129.493268728,4.615115,-1.803771,0.694373
1403638129.543268919,4.619818,-1.810345,0.698678
1403638129.640268803,4.623245,-1.819710,0.708336
1403638129.739268780,4.626018,-1.816342,0.716843
1403638129.794268847,4.626503,-1.811499,0.721350
1403638129.843268871,4.622061,-1.805658,0.726599
1403638129.894268751,4.620886,-1.802754,0.732299
1403638129.943268776,4.620818,-1.802692,0.738308
1403638130.043268919,4.621533,-1.801914,0.754143
1403638130.140268803,4.621922,-1.796433,0.777302
1403638130.190268755,4.621745,-1.794626,0.792641
1403638130.241268873,4.621240,-1.794405,0.810232
1403638130.291268826,4.620377,-1.795232,0.828613
1403638130.341268778,4.620646,-1.796159,0.848125
1403638130.391268730,4.621406,-1.795701,0.867890
1403638130.441268921,4.621499,-1.794126,0.888134
1403638130.493268728,4.621457,-1.792862,0.908947
1403638130.542268753,4.621596,-1.793587,0.929484
1403638130.592268705,4.622522,-1.795095,0.950873
1403638130.643268824,4.622622,-1.795505,0.971614
1403638130.690268755,4.621979,-1.794459,0.991105
1403638130.794268847,4.619481,-1.789823,1.032035
1403638130.844268799,4.618308,-1.789407,1.051145
1403638130.895268917,4.617498,-1.790654,1.070348
1403638130.942268848,4.617314,-1.792547,1.088212
1403638131.040268898,4.619474,-1.797004,1.121102
1403638131.095268726,4.620010,-1.798639,1.135670
1403638131.140268803,4.619824,-1.800909,1.144638
1403638131.192268848,4.618781,-1.804652,1.150108
1403638131.240268707,4.618245,-1.808876,1.150635
1403638131.591268778,4.620049,-1.801696,1.074491
1403638131.692268848,4.618883,-1.804423,1.039707
1403638131.742268801,4.618672,-1.805711,1.021360
1403638131.792268753,4.618187,-1.806926,1.000886
1403638131.892268896,4.618039,-1.809447,0.960338
1403638131.942268848,4.617871,-1.811437,0.938282
1403638131.994268894,4.615633,-1.812476,0.914847
1403638132.043268919,4.617105,-1.814955,0.891898
1403638132.092268705,4.615952,-1.816251,0.870936
1403638132.143268824,4.614642,-1.817844,0.850361
1403638132.193268776,4.613885,-1.818817,0.832554
1403638132.243268728,4.613245,-1.818493,0.819866
1403638132.293268919,4.612647,-1.817159,0.812285
1403638132.343268871,4.613044,-1.815932,0.811711
1403638132.842268705,4.609912,-1.830141,1.040488
1403638132.940268755,4.610918,-1.826025,1.079186
1403638132.994268894,4.608630,-1.821729,1.094900
1403638133.042268753,4.605202,-1.818892,1.104623
1403638133.091268778,4.601307,-1.819047,1.110268
